Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Segment,Region,Category,Sub_Category,Product_Name,Quantity,Discount,Sales,Profit
ORD-00052,2024-09-30,2024-10-04,Express,CUST-6138,Home Office,East,Furniture,Tables,Round Table,2,0.1,1007.99,38.84
ORD-00977,2023-04-24,2023-04-30,Standard,CUST-6413,Consumer,South,Furniture,Chairs,Ergonomic Chair,5,0.4,3520.87,-334.46
ORD-00185,2023-07-31,2023-08-07,Standard,CUST-3664,Consumer,West,Furniture,Tables,Folding Table,2,0.0,1426.86,35.77
ORD-01002,11/11/2023,11/18/2023,Standard,CUST-2084,Corporate,Central,Technology,Phones,Samsung Galaxy,2,0.2,1552.25,-261.49
ORD-00747,2024-08-26,2024-09-02,Standard,CUST-4432,Consumer,East,Furniture,Storage,Storage Bin,2,0.0,972.65,-22.77
ORD-01010,2024-07-24,2024-07-31,Standard,CUST-6107,Corporate,Central,Technology,Computers,HP Spectre,3,0.2,777.39,-73.94
ORD-00927,2024-01-20,2024-01-25,Standard,CUST-7873,Corporate,East,Furniture,Storage,Bookcase,1,0.1,1032.67,44.38
ORD-00395,2024-09-30,2024-10-05,Standard,CUST-2291,Consumer,South,Technology,Computers,Lenovo ThinkPad,2,0.0,1010.61,211.49
ORD-00598,2023-04-06,2023-04-13,Standard,CUST-3646,Consumer,West,Office Supplies,Binders,Report Cover,1,0.0,76.92,35.33
ORD-00589,05/04/2023,05/12/2023,Standard,CUST-6310,Consumer,East,Furniture,Chairs,Ergonomic Chair,1,0.0,576.45,97.67
ORD-00766,2024-11-08,2024-11-15,Standard,CUST-6168,Home Office,South,Technology,Computers,Lenovo ThinkPad,1,0.0,1437.05,344.84
ORD-00142,2023-07-10,2023-07-17,Standard,CUST-5073,Corporate,Central,Office Supplies,Binders,Folder Set,3,0.0,176.82,83.32
ORD-00937,2024-03-23,2024-03-31,Standard,CUST-5304,Consumer,Central,Furniture,Storage,Filing Cabinet,1,0.2,360.6,-67.42
ORD-01091,2023-09-21,2023-09-24,Express,CUST-3144,Consumer,Central,Office Supplies,Paper,Sticky Notes,1,0.0,46.01,17.58
ORD-00416,2023-05-15,2023-05-15,Same Day,CUST-5506,Home Office,Central,Office Supplies,Paper,Copy Paper,2,0.2,46.47,5.05
ORD-01459,2024-07-14,2024-07-21,Standard,CUST-8508,Corporate,East,Furniture,Chairs,Executive Chair,1,0.0,637.2,83.55
ORD-00382,2023-03-14,2023-03-16,Express,CUST-9348,Consumer,South,Furniture,Storage,Bookcase,1,0.3,1011.38,-97.94
ORD-00614,2024-02-04,2024-02-10,Standard,CUST-3621,Consumer,West,Office Supplies,Paper,Legal Pads,1,0.15,30.43,3.02
ORD-00248,2024-01-14,2024-01-19,Standard,CUST-4733,Consumer,East,Technology,Computers,Lenovo ThinkPad,1,0.0,956.86,104.53
ORD-00808,04/06/2023,04/13/2023,Standard,CUST-6138,Home Office,South,Furniture,Tables,Computer Desk,1,0.3,273.81,-29.74
ORD-00494,2024-04-07,2024-04-11,Express,CUST-7209,Consumer,South,Technology,Computers,HP Spectre,4,0.0,6508.61,1521.62
ORD-00737,2023-11-03,2023-11-09,Standard,CUST-4598,Corporate,West,Furniture,Tables,Round Table,5,0.1,2147.73,-193.64
ORD-00692,2024-10-03,2024-10-03,Same Day,CUST-2163,Consumer,South,Furniture,Tables,Folding Table,1,0.1,299.32,-39.15
ORD-00245,2023-07-30,2023-07-31,Same Day,CUST-1053,Consumer,Central,Technology,Phones,Google Pixel,3,0.0,4373.92,622.1
ORD-00906,2023-03-30,2023-04-02,Express,CUST-1711,Corporate,Central,Furniture,Tables,Round Table,1,0.0,263.05,39.02
ORD-01173,2023-07-17,2023-07-20,Express,CUST-2122,Corporate,West,Furniture,Tables,Conference Table,4,0.15,3226.64,-784.62
ORD-00788,2023-04-22,2023-05-02,Standard,CUST-7224,Corporate,East,Furniture,Tables,Folding Table,1,0.1,1299.03,-129.41
ORD-00381,2023-03-23,2023-04-02,Standard,CUST-4527,Home Office,East,Technology,Accessories,Webcam HD,4,0.1,4097.3,21.96
ORD-01458,2023-04-28,2023-05-03,Standard,CUST-1958,Home Office,West,Furniture,Tables,Folding Table,2,0.1,1771.08,0.9
ORD-01476,2023-05-20,2023-05-20,Same Day,CUST-1958,Consumer,West,Furniture,Chairs,Executive Chair,4,0.15,4785.65,-869.62
ORD-01189,2024-03-23,2024-03-27,Express,CUST-2040,Corporate,West,Technology,Accessories,Webcam HD,2,0.0,180.79,30.07
ORD-00465,2023-08-12,2023-08-14,Express,CUST-9317,Corporate,South,Technology,Accessories,Webcam HD,1,0.0,1445.03,268.34
ORD-00620,2024-11-29,2024-11-30,Same Day,CUST-7252,Corporate,South,Technology,Accessories,Laptop Stand,1,0.3,1001.08,-302.08
ORD-01147,2023-01-31,2023-02-08,Standard,CUST-2519,Corporate,South,Technology,Computers,Lenovo ThinkPad,5,0.2,3416.91,-660.81
ORD-00169,2023-10-05,2023-10-10,Standard,CUST-7537,Consumer,Central,Technology,Phones,OnePlus Nord,2,0.1,1074.11,-24.81
ORD-01380,2023-01-24,2023-01-28,Express,CUST-2535,Consumer,Central,Technology,Phones,iPhone Pro,3,0.1,4237.6,9.48
ORD-00757,2024-03-28,2024-04-04,Standard,CUST-9856,Corporate,East,Furniture,Storage,Filing Cabinet,4,0.0,3926.88,241.56
ORD-00362,2024-07-15,2024-07-25,Standard,CUST-9856,Home Office,West,Furniture,Tables,Round Table,2,0.15,1576.18,-87.76
ORD-01353,2024-09-05,2024-09-10,Standard,CUST-5803,Corporate,East,Technology,Phones,OnePlus Nord,1,0.0,1674.4,366.72
ORD-01084,2023-02-08,2023-02-10,Express,CUST-1916,Corporate,East,Technology,Phones,  Samsung Galaxy  ,1,0.1,1262.3,7.11
ORD-00307,2024-07-07,2024-07-09,Express,CUST-5557,Corporate,South,Technology,Computers,HP Spectre,1,0.3,1157.18,-327.67
ORD-01025,2024-05-24,2024-06-01,Standard,CUST-2049,Consumer,Central,Technology,Phones,iPhone Pro,1,0.0,1822.51,396.38
ORD-00637,2023-05-31,2023-06-09,Standard,CUST-4527,Consumer,West,Office Supplies,Art Supplies,Colored Pencils,1,0.1,36.03,10.29
ORD-01038,2023-07-27,2023-08-04,Standard,CUST-7216,Home Office,West,Technology,Accessories,Webcam HD,5,0.2,7227.46,-938.12
ORD-00176,2023-05-23,2023-05-30,Standard,CUST-8527,Corporate,West,Office Supplies,Binders,Report Cover,2,0.1,19.82,4.89
ORD-01024,2024-01-16,2024-01-18,Express,CUST-8019,Corporate,West,Office Supplies,Paper,Legal Pads,2,0.0,43.18,19.94
ORD-00909,2024-04-26,2024-05-02,Standard,CUST-9669,Consumer,Central,Office Supplies,Paper,Legal Pads,1,0.2,25.48,4.85
ORD-00902,2023-07-02,2023-07-02,Same Day,CUST-7054,Home Office,South,Furniture,Tables,Round Table,5,0.1,5078.14,-356.57
ORD-01254,2024-08-13,2024-08-23,Standard,CUST-5889,Home Office,Central,Furniture,Storage,Filing Cabinet,1,0.15,1235.94,-268.55
ORD-01011,2023-07-08,2023-07-14,Standard,CUST-1488,Consumer,West,Furniture,Storage,Filing Cabinet,2,0.15,962.57,-203.26
ORD-01058,2023-09-25,2023-09-28,Express,CUST-8177,Home Office,South,Furniture,Storage,Shelving Unit,1,0.4,281.39,-15.84
ORD-00077,2023-10-13,2023-10-21,Standard,CUST-4582,Home Office,South,Office Supplies,Binders,3-Ring Binder,3,0.2,234.2,30.1
ORD-01044,2023-09-05,2023-09-09,Express,CUST-1949,Home Office,West,Technology,Accessories,Laptop Stand,2,0.0,2836.24,328.38
ORD-00678,2023-08-23,2023-08-26,Express,CUST-9797,Home Office,West,Office Supplies,Binders,3-Ring Binder,1,0.2,19.64,3.88
ORD-00068,2023-03-12,2023-03-16,Express,CUST-1409,Corporate,East,Technology,Accessories,USB-C Hub,4,0.0,1884.42,230.15
ORD-01376,2023-05-14,2023-05-24,Standard,CUST-5552,Home Office,Central,Office Supplies,Art Supplies,Colored Pencils,3,0.0,43.09,19.74
ORD-00240,09/08/2024,09/17/2024,Standard,CUST-1053,Corporate,East,Office Supplies,Paper,Cardstock,4,0.0,234.91,105.49
ORD-00529,2023-06-06,2023-06-15,Standard,CUST-3621,Corporate,East,Office Supplies,Art Supplies,Highlighters,3,0.15,31.29,7.31
ORD-00050,2024-04-29,2024-05-02,Express,CUST-9928,Consumer,West,Furniture,Chairs,Guest Chair,3,0.25,2315.62,-697.39
ORD-00310,2023-03-17,2023-03-24,Standard,CUST-5073,Corporate,Central,Furniture,Chairs,Executive Chair,1,0.0,904.95,42.54
ORD-00071,2024-04-14,2024-04-16,Express,CUST-7658,Consumer,East,Office Supplies,Art Supplies,Highlighters,2,0.1,90.91,22.55
ORD-00746,2024-03-17,2024-03-25,Standard,CUST-5010,Corporate,West,Furniture,Storage,Bookcase,1,0.0,526.1,46.27
ORD-00586,2024-03-02,2024-03-06,Express,CUST-7304,Corporate,Central,Furniture,Storage,Shelving Unit,2,0.25,906.54,-348.56
ORD-00803,2023-02-22,2023-02-26,Express,CUST-7118,Home Office,West,Furniture,Chairs,Stacking Chair,1,0.15,1202.88,-209.57
ORD-00298,2023-01-26,2023-01-31,Standard,CUST-9317,Consumer,Central,Furniture,Chairs,Executive Chair,3,0.0,1139.59,24.68
ORD-01207,2023-12-09,2023-12-12,Express,CUST-2528,Corporate,West,Technology,Computers,Lenovo ThinkPad,1,0.15,583.75,-21.69
ORD-01069,2023-07-13,2023-07-16,Express,CUST-8749,Home Office,East,Furniture,Chairs,Ergonomic Chair,1,0.2,324.58,-39.55
ORD-01442,2023-12-17,2023-12-24,Standard,CUST-1514,Home Office,Central,Furniture,Chairs,Stacking Chair,4,0.1,4036.66,-341.9
